t,occupied,free,known,path_len
1.02,0,0,0,0.00
2.02,0,0,0,0.00
3.02,0,0,0,0.02
4.02,16290,60074,76364,0.09
5.29,17046,59862,76908,0.18
6.02,17269,60172,77441,0.27
7.19,17458,60639,78097,0.39
8.02,17626,60591,78217,0.49
9.02,17871,57579,75450,0.63
10.27,18149,57201,75350,0.74
11.02,18289,56409,74698,0.86
12.02,18501,56199,74700,1.00
13.13,18843,57224,76067,1.10
14.02,19001,57251,76252,1.24
15.02,19398,59129,78527,1.38
16.04,19856,62343,82199,1.48
17.02,19928,62135,82063,1.65
18.02,20248,62201,82449,1.75
19.13,20322,64344,84666,1.84
20.21,20546,64001,84547,1.97
21.02,20797,63754,84551,2.11
22.07,20931,62798,83729,2.20
23.14,21051,61630,82681,2.31
24.02,21203,61657,82860,2.40
25.02,21576,66389,87965,2.52
26.12,21613,65479,87092,2.60
27.25,21664,62079,83743,2.75
28.02,21849,60042,81891,2.89
29.04,21916,59338,81254,2.98
30.22,21973,58924,80897,3.14
31.02,22016,59747,81763,3.28
32.02,22138,58837,80975,3.43
33.12,22215,57996,80211,3.50
34.26,22287,58592,80879,3.62
35.02,22389,59319,81708,3.76
36.02,22507,61044,83551,3.87
37.05,22561,59775,82336,3.99
38.15,22639,59351,81990,4.13
39.02,22620,60438,83058,4.26
40.02,22643,59737,82380,4.40
41.15,22692,59048,81740,4.53
42.02,22721,59317,82038,4.69
43.02,22796,58351,81147,4.79
44.26,22794,58419,81213,4.92
45.02,22882,59659,82541,5.01
46.10,22960,59191,82151,5.14
47.02,22942,59438,82380,5.27
48.02,23123,57971,81094,5.41
49.13,23250,58252,81502,5.54
50.02,23332,58903,82235,5.68
51.02,23497,58974,82471,5.82
52.02,23601,59275,82876,5.95
53.02,23741,59227,82968,6.04
54.02,23813,60606,84419,6.16
55.04,24123,61625,85748,6.27
56.02,24201,61643,85844,6.40
57.02,24382,61541,85923,6.54
58.02,24518,61012,85530,6.66
59.02,24761,62017,86778,6.77
60.32,24986,64965,89951,6.92
61.02,25124,66678,91802,7.05
62.02,25220,66741,91961,7.19
63.17,25423,69347,94770,7.29
64.02,25492,69262,94754,7.43
65.31,25623,69889,95512,7.57
66.02,25863,70148,96011,7.65
67.17,25966,70612,96578,7.76
68.26,26147,68412,94559,7.90
69.02,26525,67269,93794,8.02
70.09,26582,66159,92741,8.11
71.33,27025,69968,96993,8.28
72.02,26996,69862,96858,8.42
73.27,27133,69406,96539,8.56
74.02,27211,68430,95641,8.66
75.13,27349,70872,98221,8.77
76.02,27729,72974,100703,8.91
77.11,28429,77024,105453,9.00
78.02,28751,76132,104883,9.18
79.29,29219,73060,102279,9.29
80.09,29400,71661,101061,9.39
81.02,29697,70434,100131,9.58
82.20,30021,69326,99347,9.70
83.02,30199,68490,98689,9.85
84.30,30484,66830,97314,9.98
85.07,30622,66574,97196,10.11
86.02,30728,66012,96740,10.23
87.07,30884,66172,97056,10.31
88.02,30941,66182,97123,10.48
89.06,31212,66432,97644,10.59
90.02,31259,67117,98376,10.74
91.02,31453,66271,97724,10.87
92.27,31548,65318,96866,10.95
