t,occupied,free,known,path_len
1.03,0,0,0,0.12
2.24,16775,55792,72567,0.18
3.18,17031,53486,70517,0.18
4.04,17273,54423,71696,0.42
5.09,18073,57705,75778,0.42
6.08,18564,58612,77176,0.42
7.03,18886,59776,78662,0.42
8.03,19244,59191,78435,0.42
9.03,19585,59067,78652,0.42
10.03,19923,62735,82658,0.42
11.03,20161,63898,84059,0.42
12.03,20336,65187,85523,0.42
13.14,20336,67173,87509,0.42
14.15,20893,65652,86545,0.44
15.03,21055,65226,86281,0.58
16.03,21118,64793,85911,0.68
17.03,21694,71048,92742,0.81
18.13,21834,73238,95072,0.89
19.03,22071,71912,93983,0.99
20.13,22231,71637,93868,1.14
21.30,22435,71939,94374,1.14
22.03,22573,72325,94898,1.14
23.28,22991,73181,96172,1.58
24.03,23113,73826,96939,1.70
25.20,23542,76888,100430,1.79
26.03,23828,77605,101433,1.88
27.19,23986,77354,101340,2.05
28.03,24249,77775,102024,2.15
29.23,24447,78005,102452,2.31
30.03,24691,75864,100555,2.47
31.14,24918,74922,99840,2.47
32.03,24939,75495,100434,2.69
33.11,24948,73866,98814,2.82
34.03,24972,72556,97528,2.97
35.10,25012,72051,97063,3.06
36.25,25155,71476,96631,3.18
37.03,25131,70830,95961,3.27
38.13,25192,70145,95337,3.31
39.33,25310,68935,94245,3.37
40.03,25380,68530,93910,3.57
41.06,25514,69136,94650,3.57
42.03,25641,68217,93858,3.80
43.19,25681,69916,95597,3.86
44.12,25715,70461,96176,3.98
45.03,25779,70190,95969,4.16
46.20,25779,70486,96265,4.25
47.04,25793,68833,94626,4.39
48.03,25783,67065,92848,4.56
49.09,25755,65585,91340,4.66
50.03,25790,64358,90148,4.82
51.03,25890,65024,90914,4.83
52.06,25922,64778,90700,4.83
53.17,25976,64342,90318,4.83
54.33,25985,63895,89880,4.83
55.26,26036,63846,89882,4.84
56.03,26117,63532,89649,4.84
57.03,26149,63560,89709,4.89
58.03,26189,63474,89663,4.91
59.03,26251,62598,88849,4.99
60.03,26288,62484,88772,5.00
61.03,26307,62717,89024,5.01
62.03,26396,62761,89157,5.04
63.03,26474,62766,89240,5.06
64.03,26423,62551,88974,5.08
65.03,26450,62206,88656,5.09
66.03,26461,62075,88536,5.11
67.05,26351,62109,88460,5.12
68.03,26326,61961,88287,5.14
69.03,26290,62486,88776,5.16
70.03,26286,62827,89113,5.17
71.03,26382,62647,89029,5.17
72.04,26389,62370,88759,5.17
73.03,26575,62385,88960,5.17
74.08,26552,62801,89353,5.18
75.03,26626,62715,89341,5.20
76.03,26622,63356,89978,5.21
77.03,26637,64002,90639,5.37
78.03,26673,64028,90701,5.47
79.21,26729,63198,89927,5.56
80.16,26857,62745,89602,5.67
81.14,26924,63344,90268,5.67
82.07,26945,63918,90863,5.89
83.03,27025,64654,91679,6.12
84.03,27048,65093,92141,6.22
85.03,27027,63931,90958,6.31
86.28,27035,63934,90969,6.49
87.32,27197,62899,90096,6.61
88.23,27205,63993,91198,6.76
89.03,27244,64221,91465,6.88
90.03,27280,64083,91363,6.93
91.31,27338,63365,90703,6.93
92.22,27565,63067,90632,7.19
93.24,27569,62738,90307,7.31
94.14,27553,63765,91318,7.31
95.04,27533,64642,92175,7.52
96.03,27489,64321,91810,7.71
97.03,27477,63879,91356,7.80
98.23,27520,63573,91093,7.93
99.13,27506,63225,90731,8.03
100.04,27456,63115,90571,8.11
101.03,27397,62899,90296,8.19
102.03,27357,61985,89342,8.41
103.27,27357,61827,89184,8.41
104.11,27445,61101,88546,8.41
105.03,27584,60736,88320,8.70
106.18,27600,61492,89092,8.70
107.08,27616,61253,88869,8.92
108.33,27651,60484,88135,9.00
